text,text,summary
,,Parents will not name their sons Akhilesh now: Adityanath
,,10 supercars seized in Chennai for illegal racing
,,Mumbaikars protest outside BMC on 192 unresolved complaints
,,Former BJP MLA Vijay Jolly booked on rape charges
,,Taimur has his mother Kareena's pout: Priyanka Chopra
,,"Alert in Kathua after 3 men hijack car, flee towards border"
,,Kamal Haasan criticised for naming actress in abduction case
,,"CBI denies NDTV charges, says it respects freedom of press"
,,Firm told unpaid trainees to pay over ?17 lakh for leaving
,,Ashwin thinks like a batsman while bowling: Pujara
,,Anupam Kher gifts his mother a house in Shimla
,,Katju offers apology to SC for criticising judges in a case
,,Chiranjeevi's 'Khaidi No 150' hits the theatres
,,4 lakh saplings planted in Delhi civic body's green drive
,,"I-T Dept issues ?24,646 cr notice to Sahara's Aamby Valley"
,,Recorded every meeting with Trump as he may lie: Ex-FBI boss
,,Philippine cops propose Muslim ID cards to combat terrorism
,,"Lowest salary of govt employee rose over 32,000% in 70 years"
,,"I am being framed, ready for narco test: Gayatri Prajapati"
,,Indo-American Founder of health startup becomes billionaire
,,We live in a very classist society: Shenaz Treasury
,,Modi should show his degree to me if it is genuine: Kejriwal
,,Jama Masjid Shahi Imam urges Muslims to support BSP
,,Kapil's show gets extension after Dus Ka Dum delayed: Report
,,EC storing voting machines at Asia's biggest potato market
,,Man on hunger strike for SBC quota marries at protest site
,,Amol Palekar moves SC seeking relaxation in film censorship
,,Western Central Railways ban sale of colas at 300 stations
,,Both Romeo and Juliet are welcome in Delhi: AAP Minister
,,PCB reserves ?60 crore for legal action against BCCI
,,India successfully test fires land-attack version of BrahMos
,,"India is the guru, Tibetans are disciples: Dalai Lama"
,,Nasser Hussain suggests three-point plan to dismiss Kohli
,,Female foeticide can't be allowed to take place: PM Modi
,,No sign of missing Indians in Iraq where they were last seen
,,Substance abuse is like a bad marriage: Prateik Babbar
,,Nothing going on: Richa on rumours of dating Angad Bedi
,,"Railways denies food scam, says RTI reply had typing errors"
,,"Don?t waste time, no vacancy for PM post till 2024: Paswan"
,,Southwest monsoon hits Andaman ahead of schedule
,,Dutt biopic not propaganda to portray him as God: Ranbir
,,Pregnant Serena Williams poses nude on cover of Vanity Fair
,,Women claim their braids being chopped off by unknown people
,,Global terrorism fast reaching nuclear threshold: Dalai Lama
,,Would like some animal spirit in Indian entrepreneurs: Kotak
,,Karnan goes missing as Kolkata cops reach Chennai for arrest
,,Cross-voting by 116 helped Ram Nath Kovind in election: BJP
,,"Won't grow my hair again, says Mahendra Singh Dhoni"
,,BJP Mayor mistakenly declares Vajpayee dead
,,Mumbai man stabs neighbour after marriage proposal rejected
,,"Embrace the occasion, MS Dhoni tells India's women team"
,,Indian national arrested in Pakistan
,,Regret talking about Sridevi's Baahubali casting: Rajamouli
,,Delhi Assembly directs AAP govt to probe MCDs' finances
,,Paes wins men's doubles Aegon Ilkley Challenger title
,,People drinking on Goa beaches could be arrested: Minister
,,40 inmates who helped Sasikala transferred from B'luru jail
,,"14 JD(U), 12 BJP leaders inducted in Bihar Cabinet"
,,My GoT character Jon Snow bit of a psychopath: Kit Harington
,,Local newspaper vendor arrested over Ganguly death threat
,,19 Gurugram buildings to pay property tax over free parking
,,"Old story all knew, no one talked about: Comedian on TVF row"
,,"Man arrested for selling over 50 stolen bikes on OLX, Quikr"
,,Canada PM Trudeau slammed over indigenous politician comment
,,Pak taxi app offers rides with matchmaker 'rishta aunty'
,,Will go to jail if buffalo race ban isn't lifted: K'taka MLA
,,I just did my duty: Amarnath attack bus driver
,,Amma supporters make idli weighing 68 kg in Chennai
,,JD(U) gives RJD 4 days to decide on Tejashwi's resignation
,,3 IITs made wasteful payments of ?18.03 cr in 2015-16: CAG
,,Farmers file complaint against Met dept for wrong forecast
,,"Development for all, appeasement of none in UP: Adityanath"
,,"Salman, Katrina to star together in upcoming film: Report"
,,"Declare Hurriyat a terror group, says General VK Singh"
,,DIG Roopa who exposed VIP treatment to Sasikala transferred
,,Complaint against Baahubali 2 director for casteist dialogue
,,India must aspire to become global power of happiness: Prez
,,"285 killed, 1,073 injured during Myanmar water festival"
,,IAS officers to adopt martyred security personnel's families
,,Kohli surpasses Tendulkar to record most ODI tons in chases
,,Ayesha Takia gets plastic surgery done: Report
,,Will shift my film release to avoid clash with Aamir's: Dutt
,,Indrani forged Peter?s signature on bank documents: Reports
,,"Pak's ex-minister falls for April Fools' prank, warns govt"
,,Snapdeal rejects $850 mn buyout offer from Flipkart: Reports
,,Bihar Dy CM dares Modi to speak on BJP's alleged ISI links
,,78 bank accounts of Zakir Naik's NGO under NIA scanner
,,Crocodiles halt Goa bridge collapse rescue operations
,,Priyanka slammed for alleged lip job in Instagram picture
,,Ramdev can't make gay people straight: Transgender model
,,Haryana girl Shweta Mehta wins MTV Roadies Rising
,,7-yr-old dies after drowning in an open drain in Delhi park
,,Gujarat Congress vows to waive off farmers' loan after polls
,,Petition against Sidhu for obscene jokes on Kapil's show
,,Hackers take down 30 Pak govt websites to avenge Jadhav
,,Monthly housing sales fell 40% on demonetisation: PropTiger
,,2cr copies of PM's hand-written letters to mark 3yrs of govt
,,UK to replace £1 coin to combat counterfeiting
,,ShopClues board backs Co-founders Radhika Aggarwal and Sethi
,,"Indian money in Swiss banks hits record low of ?4,500 crore"
,,Not answerable to media: Mallya after being granted bail
,,Fatima shares pictures from shoot location of upcoming film
,,"JNU makes it mandatory to fill MPhil, PhD forms in Hindi"
,,Padmini Palace in Chittorgarh Fort vandalised by Karni Sena
,,"Indefinite strike to continue in Darjeeling, GJM to quit GTA"
,,BJP offered ?15 cr to our Gujarat MLAs: Congress
,,"Hrithik Roshan, Yami Gautam starrer 'Kaabil' leaked online"
,,CBFC to reissue certificate to Jolly LLB 2 after HC order
,,Punjab female police officer marries her same-sex partner
,,Over 10 lakh bankers go on nationwide strike
,,First UK-China freight train departs on Monday
,,Pictures of SRK's character from Tubelight emerge online
,,Iran to block US visitors after Trump's immigration ban
,,Farmers will fire at BJP govt under Opposition: Cong leader
,,1100 water vending machines to be installed at rail stations
,,2 men 'marry' to protest reopening of liquor shops in TN
,,Five arrested for assaulting Enforcement Directorate officer
,,"BJP moves poll panel over Rahul's ""hand of God"" remark"
,,Paris to host summit on second anniversary of climate deal
,,Oscar-winning director Jonathan Demme passes away at 73
,,"Sunil Gavaskar was the 1st batsman to reach 10,000 Test runs"
,,5 of India's top 10 dirtiest cities in Uttar Pradesh
,,Bus seats mistaken for burqas by Norway anti-immigrant group
,,3 top AIIMS professors resigned in 6 months over poor salary
,,Pakistan arrests 30 Indian fishermen off Gujarat coast
,,TN announces State Film awards for 6 years from 2009-2014
,,Florida enlists Indian snake hunters to catch pythons
,,PM Modi expresses support for CM Nitish after resignation
,,CWG youth medalist arrested for peddling drugs worth ?50 cr
,,"Rahul to visit grandmother in Italy, BJP calls it ""picnic"""
,,"Bipin Rawat named new Army chief, BS Dhanoa new IAF head"
,,Top Lashkar-e-Taiba commander killed by armed forces in J&K
,,Pak extends house arrest of JuD chief Saeed by two months
,,Chinese court sells seized ship online for ?16 crore
,,"Billionaire Poonawalla buys Gandhi art, letters for ?27 lakh"
,,Google as much an Indian company as American: IT Minister
,,Tricolour is sacrosanct: Govt on Mehbooba Mufti flag remark
,,Will ensure he doesn't influence others: Rape accused's mom
